Genero,Campesino,Estrato,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,Disponibilidad_Equipo,tiempo_segundos,Puntaje_eje_tematico_selecionado,linea_1_programacion,linea_2_inteligecia_artificial,linea_3_analisis_de_datos,linea_4_blockchain,linea_5_arquitectura_en_la_nube,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,Matriculado (SI o NO),Asistencia horas,Total_horas posibles,etnica_Indígena,"etnica_Negro, Mulato, Afrodescendiente, Afrocolombiano",etnica_Ningún grupo étnico,"etnica_Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina",etnica_Rrom o gitano,linea_1_Explorador - Básico,linea_1_Innovador - Avanzado,linea_1_Integrador - Intermedio,linea_2_Explorador - Básico,linea_2_Innovador - Avanzado,linea_2_Integrador - Intermedio,linea_3_Explorador - Básico,linea_3_Innovador - Avanzado,linea_3_Integrador - Intermedio,linea_4_Explorador - Básico,linea_4_Innovador - Avanzado,linea_4_Integrador - Intermedio,linea_5_Explorador - Básico,linea_5_Innovador - Avanzado,linea_5_Integrador - Intermedio,eje_final_Análisis de Datos,eje_final_Arquitectura en la nube,eje_final_Blockchain,eje_final_Inteligencia artificial,eje_final_Programación,area_1_Explorador,area_1_Innovador,area_1_Integrador,area_2_Explorador,area_2_Innovador,area_2_Integrador,area_3_Explorador,area_3_Innovador,area_3_Integrador,area_4_Explorador,area_4_Innovador,area_4_Integrador,area_5_Explorador,area_5_Innovador,area_5_Integrador,eje_tematico_Blockchain,eje_tematico_Ciber seguridad y Blockchain,eje_tematico_Computación y arquitectura en la nube,eje_tematico_Datos,eje_tematico_Inteligencia artificial,eje_tematico_Programación,Programa_de_Formación_Análisis de datos,Programa_de_Formación_Arquitectura en la nube,Programa_de_Formación_Blockchain,Programa_de_Formación_Inteligencia artificial,Programa_de_Formación_Programación,Nivel_Avanzado,Nivel_Básico,Nivel_Intermedio,Cohorte_1,Cohorte_2,Cohorte_3,Cohorte_4,Cohorte_5,Cohorte_6,Cohorte_7,Cohorte_8,Cohorte_2_3,Cohorte_3_5,Cohorte_4_5,Cohorte_5_7,Cohorte_6_7,Cohorte_6_8,Tipo_de_formacion_Híbrida,Tipo_de_formacion_Virtual,estado_formado,dia,mes,year
1.0,0,2,2,0,0,0,1,5988,84.6429,84.6429,84.5536,84.8214,85.1786,81.3393,94,98,99,97,83,31,SI,159,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,16,12,2023
0.0,0,2,4,0,0,0,1,5912,74.2857,74.6429,70.8036,74.2857,72.0536,71.6071,87,73,91,80,76,13,SI,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,12,2023
0.0,1,3,6,0,0,0,1,7044,70.0893,71.6964,70.0893,76.6964,73.125,58.3929,93,88,100,82,29,14,SI,21,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,12,2023
0.0,0,2,5,0,0,0,1,3076,65.5357,65.2679,63.9286,68.3036,65.5357,65.5357,85,68,74,71,70,19,SI,159,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,12,2023
1.0,0,2,2,0,0,0,1,7061,83.2143,82.8571,83.2143,81.7857,80.8929,80.1786,88,96,98,88,88,28,SI,90,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,12,2023
1.0,1,1,5,0,0,0,1,1234,23.5714,5.89286,5.89286,23.5714,11.7857,11.7857,66,0,0,0,0,0,SI,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,12,2023
1.0,0,3,5,0,0,0,1,5121,84.375,84.375,82.3214,85.8036,83.125,81.3393,101,90,101,91,84,37,SI,159,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,12,2023
1.0,0,1,5,0,0,0,1,5926,75,75.0893,75,76.4286,76.7857,74.375,88,85,84,88,78,19,SI,159,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,17,12,2023
1.0,0,2,7,0,0,0,1,7080,81.9643,84.1964,85.4464,81.4286,81.9643,82.1429,83,100,98,90,94,22,SI,156,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16,12,2023
1.0,1,2,6,0,0,0,1,7112,68.0357,54.0179,58.3929,68.0357,44.9107,35.3571,94,87,101,10,0,9,SI,159,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023
