Genero,Campesino,Estrato,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,tiempo_segundos,Puntaje_eje_tematico_selecionado,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,Asistencia horas,Total_horas posibles,etnica_Indígena,"etnica_Negro, Mulato, Afrodescendiente, Afrocolombiano",etnica_Ningún grupo étnico,"etnica_Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina",etnica_Rrom o gitano,linea_1_Explorador - Básico,linea_1_Innovador - Avanzado,linea_1_Integrador - Intermedio,linea_2_Explorador - Básico,linea_2_Innovador - Avanzado,linea_2_Integrador - Intermedio,linea_3_Explorador - Básico,linea_3_Innovador - Avanzado,linea_3_Integrador - Intermedio,linea_4_Explorador - Básico,linea_4_Innovador - Avanzado,linea_4_Integrador - Intermedio,linea_5_Explorador - Básico,linea_5_Innovador - Avanzado,linea_5_Integrador - Intermedio,eje_final_Análisis de Datos,eje_final_Arquitectura en la nube,eje_final_Blockchain,eje_final_Inteligencia artificial,eje_final_Programación,area_1_Explorador,area_1_Innovador,area_1_Integrador,area_2_Explorador,area_2_Innovador,area_2_Integrador,area_3_Explorador,area_3_Innovador,area_3_Integrador,area_4_Explorador,area_4_Innovador,area_4_Integrador,area_5_Explorador,area_5_Innovador,area_5_Integrador,eje_tematico_Blockchain,eje_tematico_Ciber seguridad y Blockchain,eje_tematico_Computación y arquitectura en la nube,eje_tematico_Datos,eje_tematico_Inteligencia artificial,eje_tematico_Programación,Programa_de_Formación_Análisis de datos,Programa_de_Formación_Arquitectura en la nube,Programa_de_Formación_Blockchain,Programa_de_Formación_Inteligencia artificial,Programa_de_Formación_Programación,Nivel_Avanzado,Nivel_Básico,Nivel_Intermedio,Cohorte_1,Cohorte_2,Cohorte_3,Cohorte_4,Cohorte_5,Cohorte_6,Cohorte_7,Cohorte_8,Cohorte_2_3,Cohorte_3_5,Cohorte_4_5,Cohorte_5_7,Cohorte_6_7,Cohorte_6_8,Tipo_de_formacion_Híbrida,Tipo_de_formacion_Virtual,exito_academico,dia,mes,year,promedio_lineas,promedio_areas,ratio_asistencia,linea_pca
1.0,0,-0.41779013889992006,-1.6474668572664706,0,0,0,0.2702725455750822,0.8086989948833682,0.4100672405799933,0.6718549809843003,0.5114967779623701,0.8885238501462833,0.8320998534364026,0.9311104508071094,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,16,12,2023,21.27679,24.142857142857142,159.0,43.43106500679272
0.0,0,-0.41779013889992006,-0.4454773636984326,0,0,0,0.23196475118964233,0.3683605386036491,-0.02033421997980714,-0.24407932595252396,0.2785469133654789,0.42422394458377155,0.6554999945269628,-0.8440573476963014,-1.2697914713588319,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,12,2023,18.419645000000003,20.238095238095237,0.0,18.00429988977021
0.0,1,0.751456713452818,0.7565121298696054,0,0,0,0.8025492675622465,0.1899497424490687,0.3485813176428789,0.3054812582095706,0.5406155110369816,0.4788474628852435,-0.5302419152935615,-0.7454369144461118,-0.9822793335367848,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,12,2023,17.75,19.571428571428573,21.0,11.476016462231456
0.0,0,-0.41779013889992006,0.15551738308558638,0,0,0,-1.1975208392986134,-0.0036474840711612513,-0.14330606585403582,-0.42726618733988886,-0.21647154890291512,0.17841811222714765,0.5041286868903001,-0.25233474819516444,0.9070861435795244,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,12,2023,16.678575000000002,18.666666666666668,159.0,2.3234576832824416
1.0,0,-0.41779013889992006,-1.6474668572664706,0,0,0,0.811118116306358,0.7479617764612841,0.041151702957307204,0.5985802364293544,0.48237804488775876,0.6427180177896594,0.9582426098002882,0.6352491510565409,-0.03759659497863018,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,12,2023,20.69643,23.38095238095238,90.0,38.35608973566198
1.0,1,-1.587036991252658,0.15551738308558638,0,0,0,-2.125980803219406,-1.787768200177738,-1.3115386016592083,-2.918607502208051,-2.3712577964241595,-1.7607167874751073,-1.2618699022040978,-2.1261229799487644,-1.2697914713588319,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,12,2023,3.1964259999999998,3.380952380952381,0.0,-118.72075751858644
1.0,0,0.751456713452818,0.15551738308558638,0,0,0,-0.1667387403746067,0.7973091721091304,0.8404687011397937,0.37875600276451654,0.569734244111593,0.7246532952418674,0.8573284047091797,1.5228330503082463,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,12,2023,21.098215,24.238095238095237,159.0,41.727758409311235
1.0,0,-1.587036991252658,0.15551738308558638,0,0,0,0.23902145015538126,0.39872914781469077,0.041151702957307204,0.1955691413771517,0.07471578184319899,0.6427180177896594,0.7059570970725171,-0.25233474819516444,0.9070861435795244,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,17,12,2023,19.13393,21.285714285714285,159.0,24.315387109357943
1.0,0,-0.41779013889992006,1.3575068766536242,0,0,0,0.820695064902718,0.6948177732220255,-0.26627791172826454,0.7451297255392463,0.48237804488775876,0.6973415360911314,1.1096139174369508,0.043526551555404025,0.8660129810335176,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16,12,2023,21.00893,23.428571428571427,156.0,41.2839037880114
1.0,1,-0.41779013889992006,0.7565121298696054,0,0,0,0.8368246625386927,0.10264052240735598,0.4100672405799933,0.2688438859320976,0.569734244111593,-1.4875991959677475,-1.2618699022040978,-1.2385390806970593,0.9070861435795244,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023,13.285715,14.571428571428571,159.0,-29.135915201611468
1.0,1,-0.41779013889992006,0.7565121298696054,0,0,0,-0.5951811775801841,0.850453175348389,0.28709539470576456,0.5619428641518814,0.7444466425592614,0.7792768135433393,1.1096139174369508,0.6352491510565409,-0.2155802993446593,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,12,2023,21.72322,24.476190476190474,77.0,47.58640968470863
1.0,0,0.751456713452818,0.7565121298696054,0,0,0,0.5953847479251968,0.6188983759545507,0.10263762589442155,0.2688438859320976,0.3950218456639245,0.8339003318448113,0.8320998534364026,1.5228330503082463,-0.6126208706227243,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,12,2023,20.294645,23.38095238095238,48.0,34.79827149819786
1.0,0,1.9207035658055558,0.7565121298696054,0,0,0,0.7057716817463985,0.6644491640109839,0.22560947176865023,0.41539337504198953,0.3950218456639245,0.6973415360911314,0.8573284047091797,0.240767418055783,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023,20.38393,22.857142857142858,159.0,35.50259575278341
1.0,0,0.751456713452818,0.7565121298696054,0,0,0,0.7234134291607457,0.8466565677569766,0.3485813176428789,0.41539337504198953,0.5988529771862044,0.8065885726940754,0.9834711610730653,1.2269717505576778,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,18,12,2023,21.1875,24.19047619047619,159.0,42.74658019179674
0.0,0,0.751456713452818,0.7565121298696054,0,0,1,0.8196869650504696,0.30383096411041133,0.22560947176865023,0.5619428641518814,0.5988529771862044,0.7519650543926033,0.32752882798086036,0.7338695843067304,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17,12,2023,20.02679,22.714285714285715,159.0,32.164326969567014
0.0,0,-1.587036991252658,1.3575068766536242,0,0,0,0.8176707653459727,0.4290977570257325,0.4100672405799933,0.5253054918744084,0.569734244111593,0.4788474628852435,-1.2618699022040978,-0.15371431494497495,0.9070861435795244,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023,16.812499999999996,18.857142857142858,159.0,2.80788500256881
1.0,0,-0.41779013889992006,0.7565121298696054,0,1,0,0.4134227245943574,0.8352709965029975,0.47155316351710763,0.37875600276451654,0.6279717102608158,0.8339003318448113,0.8573284047091797,0.3393878513059725,-0.5304745455307108,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18,12,2023,21.098215000000003,23.666666666666668,54.0,41.88669120448904
0.0,0,-0.41779013889992006,0.7565121298696054,0,0,0,0.7486159254669562,0.6113051607717253,0.22560947176865023,0.4886681195969355,0.5406155110369816,0.6154062586389234,0.5798143407086315,0.6352491510565409,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,18,12,2023,20.07143,22.714285714285715,159.0,32.614065652135736
1.0,0,-0.41779013889992006,-0.4454773636984326,0,0,0,0.6881299343320512,0.90739378617906,0.1641235488315359,0.5985802364293544,0.5988529771862044,0.8339003318448113,1.134842468709728,0.6352491510565409,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17,12,2023,21.589284999999997,24.333333333333332,159.0,46.418054187260736
0.0,0,-0.41779013889992006,0.15551738308558638,0,0,0,0.6241155937142766,0.6986143808134385,0.47155316351710763,0.5253054918744084,0.5114967779623701,0.7519650543926033,0.6302714432541857,0.438008284556162,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023,20.562505,23.142857142857142,159.0,36.95810012268956
1.0,0,-0.41779013889992006,-0.4454773636984326,0,0,0,0.85446640995304,0.6796313428563754,0.4100672405799933,0.4520307473194625,0.4532593118131473,0.6154062586389234,0.8320998534364026,0.438008284556162,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,18,12,2023,20.47321,23.047619047619047,159.0,36.21516840339237
0.0,0,-1.587036991252658,-1.6474668572664706,0,0,0,0.4350968714176984,-0.6261890925766145,0.4100672405799933,0.5985802364293544,0.3950218456639245,-1.7607167874751073,-1.2618699022040978,-1.0412982141966802,0.9070861435795244,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,16,12,2023,12.973220000000001,14.333333333333334,159.0,-32.08907154472085
1.0,0,0.751456713452818,-1.6474668572664706,0,1,0,0.7884358696307686,0.7517583840526971,0.10263762589442155,0.3054812582095706,0.5988529771862044,0.6973415360911314,0.8573284047091797,0.9311104508071094,0.9070861435795244,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,16,12,2023,20.473215000000003,23.285714285714285,159.0,36.39900845691403
0.0,0,0.751456713452818,-0.4454773636984326,0,0,0,0.8549704598791642,-0.056791487310419865,0.3485813176428789,0.3054812582095706,0.5406155110369816,0.2876651488300916,-1.2618699022040978,-0.6468164811959224,0.9070861435795244,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,18,12,2023,16.142855000000004,17.904761904761905,159.0,-3.1656726818299035
1.0,0,-0.41779013889992006,-1.6474668572664706,0,0,0,0.14627626374852687,0.34938175216684453,0.47155316351710763,0.15893176909967874,0.22030944721625606,0.2603533896793556,0.5545857894358543,0.6352491510565409,-1.2697914713588319,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,12,2023,18.732144999999996,21.285714285714285,0.0,20.475179707586733
